,folio_ticket,carga_servidor,experiencia_agente,tiempo_diagnostico,es_cliente_premium,prioridad,canal_entrada,tiempo_resolucion_horas
76,TK-100076-4343,77.84527600144594,6.029703395085459,42.7112554726069,0,2.0,,36.528837320806026
77,TK-100077-2818,25.553348880056777,4.88805616940124,34.839209985842785,0,,2.0,28.998478835944663
78,TK-100078-7023,46.884929640820445,7.023836047766904,28.830397603605675,0,,0.0,24.142685089617025
79,TK-100079-8979,28.690179464384727,4.398660984236107,20.808243071102964,0,1.0,1.0,15.867666067809877
80,TK-100080-6171,84.73275694066952,6.01629066660848,29.51160194371856,1,0.0,3.0,28.604712854923005
81,TK-100081-6409,66.74735951206685,3.1646041903541917,30.062302026816308,0,0.0,2.0,39.82260351303122
82,TK-100082-5541,44.81735186394869,4.957606128426371,35.85645962393838,0,2.0,0.0,32.272730908789775
83,TK-100083-7380,24.76687627145177,4.686162335774895,32.23882495089578,0,1.0,0.0,23.011185994103187
84,TK-100084-4860,43.32367412867467,5.4055542596736945,40.50346377641142,0,0.0,2.0,
85,TK-100085-2514,44.38874915200603,4.334851528099954,30.096133829834486,0,0.0,2.0,31.8357554892965
86,TK-100086-2067,74.7204633753548,4.763349327790998,34.543670665176464,0,2.0,0.0,35.47888943316794
87,TK-100087-1881,67.81681035164098,6.486884908594711,44.47189954557511,1,2.0,0.0,32.368562052027094
88,TK-100088-7909,86.54095569322449,4.213824372971208,37.73460171163973,0,1.0,2.0,
89,TK-100089-6032,55.416119387146196,2.1081612186703773,34.51969966649148,1,0.0,1.0,36.97074514319225
90,TK-100090-7502,28.96956844537263,8.149251027569758,30.184444464518585,0,2.0,0.0,18.328098190612707
91,TK-100091-4639,73.49335904172463,7.486617341642876,29.934148826280182,0,1.0,2.0,35.61458064359175
92,TK-100092-5557,77.05887864626732,2.6739271488098866,28.195093976384417,0,1.0,2.0,36.063027983135626
93,TK-100093-9292,62.095789817712216,6.24147404944135,30.671945073736804,0,1.0,3.0,26.074056658620517
94,TK-100094-4532,77.82253849659207,4.094645413007583,41.045326709954516,0,1.0,3.0,36.993087664855985
95,TK-100095-3816,57.03466972732931,5.474276987595907,33.22489382966185,1,,3.0,20.58025492772185
96,TK-100096-7411,59.20496220364956,5.529603432224289,24.20181544495015,1,2.0,2.0,24.720728403904086
97,TK-100097-1407,52.06557637689122,4.578065959430621,0.0,0,,,12.661290413063341
98,TK-100098-8204,21.90643450580714,3.589221801944486,37.5597215291613,0,1.0,1.0,30.809279259678004
99,TK-100099-3515,28.091857024497834,3.7570261058307333,23.744452795894645,0,0.0,,
100,TK-100100-9133,22.357188926505067,3.3508545521337636,31.46520858207341,0,0.0,2.0,27.06302103819953
101,TK-100101-2739,67.73078084478354,3.5027200251851998,0.0,1,,1.0,13.726340553542718
102,TK-100102-5052,43.576698580724496,4.87907907791116,48.636736746379015,1,1.0,2.0,36.210972511965174
103,TK-100103-1258,58.14280183735271,3.7116320196006467,26.135100333929046,1,1.0,,26.479219283198827
104,TK-100104-9700,88.06748554445697,6.2276937182827155,42.80832575484757,0,0.0,2.0,45.439636966231134
105,TK-100105-6786,38.69691718616562,7.677043079604669,46.195891415778746,1,0.0,2.0,34.87288624710613
106,TK-100106-4683,50.77871922767223,3.955904165533923,29.97076555940344,1,1.0,0.0,31.035563223643774
107,TK-100107-5720,76.66633539072865,5.430928100963679,32.779891049118135,0,,2.0,37.835500164685236
108,TK-100108-4726,37.159862411871686,5.899433198545281,26.709526021009836,0,1.0,1.0,25.57234587960627
109,TK-100109-1678,25.773493237159474,5.8496040876546935,33.37231087135756,0,1.0,0.0,23.751137109451236
110,TK-100110-9459,41.731358968532604,5.1367194822489575,34.70728020525655,0,1.0,0.0,22.680271702631096
111,TK-100111-7126,32.09159654405033,6.3368283530475,40.277199984658964,0,1.0,2.0,32.245211719486846
112,TK-100112-5906,89.72732392569299,5.868048114825183,43.72146776816358,0,1.0,3.0,39.83675847114757
113,TK-100113-8898,80.60902846733127,2.7722076398108637,29.015231483026824,0,0.0,0.0,44.5310796094672
114,TK-100114-2200,67.50528173828175,6.564480915900692,19.261399486192044,0,1.0,1.0,24.790260436872142
115,TK-100115-6355,85.35954426407883,6.597123507080136,34.830041765790064,1,1.0,1.0,34.50933475722341
116,TK-100116-2116,80.27540576743358,3.626085012478553,37.34830023974912,1,0.0,3.0,35.53570084591007
117,TK-100117-7344,33.992754416452684,5.068288103805684,36.99534150148033,1,2.0,0.0,19.37815378335025
118,TK-100118-6930,86.94192488674834,6.229992187059925,32.38661401992765,0,1.0,1.0,39.91466200964806
119,TK-100119-2058,60.4506681436738,4.623235124757149,35.99801679731148,1,1.0,0.0,31.88794645273434
120,TK-100120-8284,80.55801163730469,6.931360485978821,47.12355846681798,0,1.0,,46.47386250941929
121,TK-100121-1687,87.20684749426199,9.25497049031485,38.05387335170008,1,0.0,2.0,33.29273593964017
122,TK-100122-6577,43.85026062288979,3.5852251412570317,32.013052599975325,0,0.0,1.0,37.906338605406454
123,TK-100123-6590,28.25389433957576,2.514119714323205,30.998417463232034,0,1.0,,26.912333740336567
124,TK-100124-9152,37.09513719064563,5.546873472088777,33.641181138578155,0,0.0,1.0,32.78409743542848
125,TK-100125-8063,52.03308414696922,6.298812509227059,48.093919694645116,0,0.0,2.0,48.83040284486674
126,TK-100126-9979,81.351107444187,4.5844405270794155,33.533594323790425,1,2.0,0.0,
127,TK-100127-9395,84.55479374422576,7.615869193977861,34.841645243834336,0,1.0,3.0,30.044831536487774
128,TK-100128-3491,20.521409789839304,2.5905095604981523,31.141491432509575,1,0.0,2.0,
129,TK-100129-5822,58.30604769331743,6.2472535214569,43.791866859535716,0,,3.0,32.07348416944491
130,TK-100130-8004,51.30582523615843,3.9094505226339917,50.6786980379574,0,1.0,,34.2650015430259
131,TK-100131-8011,36.65808578530477,8.094880231173134,38.60490439545111,1,1.0,0.0,22.822985505863294
132,TK-100132-6700,28.98990255002621,8.586527635702613,35.662183230283404,0,0.0,0.0,21.341638931639142
133,TK-100133-5862,45.3211378552721,3.6200181419899735,35.29426266539388,0,1.0,2.0,36.646404801433185
134,TK-100134-6350,90.71822779343894,4.010797155364556,15.925545689714035,0,0.0,0.0,
135,TK-100135-1355,44.24021990155664,6.547258196563644,40.96120691427854,0,1.0,2.0,39.28499676430964
136,TK-100136-4472,58.90929663075246,4.303164830378874,36.07333132796675,0,1.0,2.0,34.9304479504538
137,TK-100137-9432,72.72642191713834,4.918259807721971,38.4267364052858,0,0.0,1.0,39.8573646501087
138,TK-100138-8710,47.27222017844705,5.0456991569763385,29.308302447330362,0,0.0,0.0,31.01427864188957
139,TK-100139-9812,92.88365620407205,1.5445883188442187,31.924344968183267,0,,3.0,35.23134891731884
140,TK-100140-1854,92.18354712065835,4.975092057030373,31.711800507974615,1,1.0,0.0,33.24679809648048
141,TK-100141-7363,38.88367218690232,3.758490006684487,43.17298387258431,0,0.0,,44.155442378389694
142,TK-100142-7704,57.29363794192891,4.112378919680411,31.969921307175255,0,0.0,0.0,28.139007141193417
143,TK-100143-4624,42.56587323625773,7.598537606243866,51.66128257687838,1,2.0,1.0,32.51121904791377
144,TK-100144-6446,41.36303707831007,2.7382875902973387,38.4468993521203,1,0.0,2.0,36.58484459215044
145,TK-100145-9573,22.76652105158996,6.463769336146359,24.794538720034147,1,2.0,1.0,17.323915497261275
146,TK-100146-7031,65.71732504849226,4.497866725402744,33.971629653984344,0,0.0,0.0,31.405222615302463
147,TK-100147-7182,57.70092674216461,4.496431696707498,29.786599022748675,0,0.0,2.0,
148,TK-100148-2132,23.8609063437492,6.422669412893081,17.444940241439806,0,1.0,0.0,15.748301676045745
149,TK-100149-3476,40.89848481774585,5.6120923302240024,47.79576752091032,0,0.0,2.0,41.805842627125685
150,TK-100150-4135,88.11994144749903,6.027103394995156,40.62514033776003,1,0.0,2.0,42.22437112336129
151,TK-100151-3079,37.96714180002293,6.7427323889591495,39.2656585431945,1,0.0,1.0,30.37826348450105
152,TK-100152-1944,30.867115406841734,4.403644910270019,36.323229282397634,0,,1.0,
153,TK-100153-6840,56.70895702081722,3.8979738778860495,23.9438594504605,0,1.0,1.0,29.895927399520133
154,TK-100154-4962,93.92378405829506,3.046729052195963,31.131062883556506,1,1.0,1.0,38.25150827371008
155,TK-100155-7674,38.15414536336253,3.5142610460378805,41.7342461982721,0,,1.0,33.961414065130356
156,TK-100156-1834,70.4101660554409,10.308369965555706,26.59023976173998,0,1.0,1.0,31.025741333703774
157,TK-100157-4750,77.12147114965381,7.240423245326216,14.74584546999349,0,1.0,2.0,26.725070683778007
158,TK-100158-5184,37.822815799429975,2.5680661408255614,33.18315193775259,0,1.0,0.0,26.4032505490627
159,TK-100159-8178,74.61622614588947,2.6195756778615737,33.86593956777969,0,0.0,,44.883357481006534
160,TK-100160-6168,47.58373495394399,5.867358911093285,36.084507331317674,1,0.0,0.0,24.94667561994073
161,TK-100161-5991,67.42293729451846,5.985076635280341,40.82814914811629,1,0.0,1.0,38.770772593368235
162,TK-100162-9146,67.5147283070671,5.987990903571256,40.100846497849666,0,0.0,2.0,44.4983143218261
163,TK-100163-6290,60.18310130560688,4.541079571603344,37.07015844195137,0,0.0,3.0,31.81020293710335
164,TK-100164-5238,26.771732754080624,4.77418233199478,44.564251104693675,0,2.0,3.0,30.99035959265526
165,TK-100165-9398,82.64768716919285,5.590183143486843,22.848241753493483,1,2.0,2.0,28.473239663501413
166,TK-100166-9165,44.05850487288019,5.154607411327995,39.03665451581912,0,0.0,2.0,39.68134244720883
167,TK-100167-4534,33.98888827998907,1.0052593290544367,40.01230690669554,1,0.0,0.0,39.1088364421771
168,TK-100168-3052,23.058135616607295,4.586360664964651,25.083501711358082,1,0.0,2.0,
169,TK-100169-9151,64.31697073911813,3.4674684183314355,22.977035130540884,1,0.0,0.0,
170,TK-100170-1028,70.81732713817118,5.315380554035322,29.03246298819519,0,0.0,0.0,29.667973574659207
171,TK-100171-9379,21.24408716958921,10.373466204686139,29.707668459877667,1,2.0,0.0,7.767563042939095
172,TK-100172-2860,58.406979372446074,5.661466997853748,41.02735570801944,1,0.0,2.0,36.55323640078418
173,TK-100173-8934,36.98718313984534,4.435646564889684,30.083689730471242,0,0.0,0.0,28.904402363513654
174,TK-100174-3572,68.38795928070874,6.659242703559054,28.14921185375037,0,0.0,2.0,34.63088034380947
175,TK-100175-9051,33.07748217537436,5.868838196976583,30.106930106443528,0,2.0,1.0,26.451702260847497
176,TK-100176-7128,71.82033035768495,5.756170082813314,43.949058673233694,0,2.0,2.0,
177,TK-100177-5014,49.00515097254031,6.092331067788208,35.10434699501562,0,1.0,1.0,35.678122972441955
178,TK-100178-5252,90.25474915525508,8.701778416693175,33.565991797144704,1,1.0,3.0,26.471045736629822
179,TK-100179-3127,30.314070810949495,2.964400816413352,34.11995601039159,1,0.0,1.0,37.82573507175912
180,TK-100180-3707,45.57997632876939,5.852537738260618,45.336482674612185,0,,2.0,41.99341796759748
181,TK-100181-2813,28.51051409304418,3.332513966033231,29.006626187174064,1,1.0,2.0,23.015047511204962
182,TK-100182-8816,89.3520213708922,5.999922763416047,45.52406632752083,0,1.0,0.0,38.70901551661446
183,TK-100183-9351,85.80045150357357,3.34636427932503,36.68397039137203,0,0.0,2.0,
184,TK-100184-9535,39.345622078636666,4.248739735510848,33.71664494419722,0,1.0,1.0,30.3574906548725
185,TK-100185-9396,69.49880345256344,4.468838154371769,55.007203983474255,0,1.0,2.0,51.54314250940242
186,TK-100186-9496,81.29166501509118,6.756470094820476,26.554884081611227,0,0.0,1.0,35.04963470753865
187,TK-100187-9591,61.640060869959676,6.653217999096345,32.17051392346395,1,1.0,1.0,27.586645277611684
188,TK-100188-7249,59.723793376700485,2.757708722396508,25.140550086688,0,1.0,2.0,30.727953734403464
189,TK-100189-7485,38.13892181753388,5.098881399799728,42.619695764289354,1,,,
190,TK-100190-2805,26.98270758544244,3.7227562614514893,48.513511469213434,0,1.0,2.0,
191,TK-100191-6047,87.29118184649951,2.7346911607843976,48.35938225123711,0,2.0,2.0,
192,TK-100192-6540,87.53135428724978,4.609369309236134,44.791590025168034,1,0.0,2.0,46.00205634685463
193,TK-100193-3096,67.4826092954951,4.444730980779524,33.41903625763228,0,1.0,1.0,31.95644610181548
194,TK-100194-6337,45.42723432865255,9.36808967542194,32.07807218008123,1,0.0,0.0,21.597677045249355
195,TK-100195-2459,46.19071809594956,5.779327685649253,21.63064182004748,1,1.0,3.0,17.43194117470444
196,TK-100196-7934,74.44667591526795,2.520288498642373,51.28698828145434,0,2.0,2.0,
197,TK-100197-9422,87.28326949644328,3.9834067924923042,38.751824625187744,1,1.0,0.0,
198,TK-100198-4782,86.5314818198838,6.8384899317729175,31.064344761044136,1,0.0,2.0,35.12949458336386
199,TK-100199-4500,78.49066593932179,8.759196991165865,45.62445511189574,0,2.0,2.0,35.281822897729676
200,TK-100200-6605,68.15237346157159,2.145230037971675,27.217883865919994,0,1.0,2.0,37.73634938481772
201,TK-100201-7419,26.31049737462866,1.6161361067497189,38.25297627378139,1,1.0,,30.018016729017962
202,TK-100202-9624,32.122153557096034,8.367737315669208,33.61896692567332,0,1.0,3.0,
203,TK-100203-8889,87.39156413953094,5.701305519267627,40.109417119042405,0,0.0,2.0,48.11050049357245
204,TK-100204-6238,65.48217947446925,3.4370730826225406,34.49141168651103,1,1.0,,29.499572929967204
205,TK-100205-2817,20.689778871247224,5.962332355020384,23.392576871110208,1,1.0,2.0,15.121803530165286
206,TK-100206-8570,27.610365714952408,0.25565406976962013,35.6046109813603,0,1.0,0.0,33.79072278634203
207,TK-100207-6103,69.76263268310419,5.006075911874889,43.3909131350029,0,0.0,2.0,
208,TK-100208-1617,20.379618788466402,5.5900781111175535,34.76626875316812,0,,2.0,29.626828521743498
209,TK-100209-9509,32.0606038563124,6.663686251168094,41.20092097271269,1,2.0,1.0,36.99318619969067
210,TK-100210-7285,61.15503420249396,3.1749872858734323,26.635764114607575,0,2.0,1.0,32.06026320851446
211,TK-100211-1456,71.89213982695199,5.154236890526047,34.78991365384118,0,0.0,3.0,37.79665033037455
212,TK-100212-1500,68.89709446269504,3.334235673092743,30.00391635929138,1,1.0,,34.76455348366368
213,TK-100213-9074,36.820198209541985,5.459690760213771,40.97584672083768,1,1.0,1.0,31.56689621583915
214,TK-100214-3315,73.41344160106519,3.3883766197465564,35.25193249809597,0,,3.0,32.09112268452761
215,TK-100215-4874,37.793681562260005,4.265418489511603,40.5205894106929,0,1.0,1.0,
216,TK-100216-7630,44.40497736194508,3.2075322893775877,43.70168340926293,0,2.0,2.0,35.86130740937891
217,TK-100217-5973,75.9868553838518,6.1720452352825825,40.53294860097111,0,2.0,0.0,33.853845597068315
218,TK-100218-5774,68.72246742854111,6.545212009981998,37.18494747434915,0,,1.0,36.011420192563726
219,TK-100219-2003,83.69175578706334,4.577682974076655,27.014301931908758,0,1.0,2.0,36.6747849534882
220,TK-100220-7848,69.32096692252576,5.068828390928051,34.97771111466479,1,1.0,1.0,39.576896790027135
221,TK-100221-5196,62.62314525016037,2.3925354536596206,30.735276783873335,1,0.0,,30.20373025399241
222,TK-100222-7715,27.025607587106936,4.460582033587784,32.24748834636619,0,0.0,,
223,TK-100223-2066,47.57868522945751,4.9096316893248595,32.00372679399799,0,0.0,2.0,29.43650743724246
224,TK-100224-5716,39.89017757612941,9.717427563853956,27.160595401742043,0,1.0,2.0,
225,TK-100225-7608,38.299223253431265,2.9984593536065054,19.341291286928083,0,1.0,2.0,
226,TK-100226-4234,92.97579160643342,7.635519029754388,29.654855613377865,0,2.0,1.0,32.57603029809697
227,TK-100227-7494,49.482329350007035,6.794345792238454,36.54703561539327,1,1.0,2.0,26.1212395869935
228,TK-100228-5498,86.9034916382835,5.505145528082245,24.21458363658008,0,1.0,3.0,26.708563733531477
229,TK-100229-6267,67.33539694979471,8.16551687155124,35.125457891772996,0,0.0,3.0,
230,TK-100230-7171,79.61084776562363,5.669789850692354,50.20214739448772,1,1.0,2.0,41.44628594879826
231,TK-100231-9095,57.69778198288941,5.700486552202272,43.184452442017914,1,1.0,1.0,34.94584150613315
232,TK-100232-4669,63.267791346976935,4.904382824568418,48.14833207296424,0,0.0,,46.12124121281553
233,TK-100233-5715,56.93882703641479,7.20242398835353,38.12902301546181,0,2.0,,25.122241696216975
234,TK-100234-7069,34.64322408485334,6.973644620859591,44.34007858389157,1,1.0,0.0,33.18628227935843
235,TK-100235-2961,74.1839086446129,3.873780882506818,29.208282156257702,1,0.0,2.0,37.17087874991791
236,TK-100236-1875,41.05792718306418,2.6253550497222187,29.845277863824126,0,2.0,2.0,24.579475898415343
237,TK-100237-9734,21.823697482359037,4.634634852687817,13.086878350900218,0,,3.0,14.62384976090265
238,TK-100238-4516,68.41042219303759,3.5599305840842366,44.48916379233839,0,1.0,1.0,41.025639985326634
239,TK-100239-4865,33.283300955528674,4.885655765692361,47.32259183855909,0,1.0,,40.7129327687605
240,TK-100240-5499,90.53439382646857,7.227388642431451,30.57458203722184,0,0.0,2.0,36.06178242302052
241,TK-100241-8233,91.54464327519405,4.176857020843778,32.96838634882212,1,1.0,1.0,36.25421053197387
242,TK-100242-6947,88.61482926653363,4.922917913639165,28.96910309047231,0,1.0,2.0,39.4911363083102
243,TK-100243-1574,47.761902519158326,5.104440922655112,38.06122841181993,1,1.0,0.0,30.502754555273693
244,TK-100244-2458,21.15924623966506,6.527175587969513,43.99946036242593,0,0.0,0.0,26.57486759574323
245,TK-100245-8395,89.6238921940794,0.9555991988277102,21.057824208951672,1,0.0,2.0,36.06388116374161
246,TK-100246-4172,52.11381112379858,3.907939469422466,38.27550824513802,0,0.0,3.0,32.81765224031983
247,TK-100247-3470,92.49911142827521,5.380310646103051,0.0,1,2.0,1.0,13.23347958404474
248,TK-100248-4427,92.27149828169397,7.1601421215683505,35.90715513573352,0,0.0,0.0,43.06199719031962
249,TK-100249-8798,83.975709160052,4.114575594488831,38.671952013394325,1,1.0,,35.662655675672504
250,TK-100250-8736,42.08366690521893,1.6222051291246267,33.49438048981743,1,,3.0,21.267671294384307
251,TK-100251-5206,48.882329645144395,6.115480602739045,34.171305172753755,1,,0.0,27.50804629901803
252,TK-100252-3200,83.83525036376426,3.856347700113867,33.288998659562886,0,2.0,2.0,45.13814567913842
253,TK-100253-3964,43.769150386720824,2.8586000136373495,42.76252961430625,0,2.0,3.0,35.56491412276681
254,TK-100254-7905,32.71195600145694,3.8761782985161966,38.35007968101997,0,1.0,2.0,29.77117204874176
255,TK-100255-4313,61.76009468437626,4.667854356219471,0.0,0,1.0,2.0,16.062689597125605
256,TK-100256-3927,90.21160806205857,3.911459603831217,24.832386231261736,0,0.0,1.0,41.50288380132691
257,TK-100257-9873,72.20223475062298,1.0299810972216754,31.971362054294765,0,0.0,1.0,39.72166567145191
258,TK-100258-9470,62.75458775670237,6.6147191543968376,42.18935328271339,0,1.0,1.0,38.39376540086127
259,TK-100259-5458,27.28823703280764,7.2947750743017,35.30157258499138,0,0.0,2.0,
260,TK-100260-2648,66.12554200243773,6.172739584411111,40.27625175671311,1,1.0,1.0,30.866457110603424
261,TK-100261-6527,94.25403875781974,2.9521657932353302,49.13209440262107,0,0.0,3.0,
262,TK-100262-9184,30.506301142739304,4.637315238894468,43.30884855367053,1,,1.0,23.02242060333129
263,TK-100263-3341,58.87472392728026,4.988261632586975,35.74526670159794,0,1.0,1.0,31.698270109682074
264,TK-100264-2518,85.80298039459666,6.077829901211438,30.912086638434182,1,0.0,1.0,33.395083786532986
265,TK-100265-2838,75.55764633156534,6.203012879692546,14.571603231552814,0,1.0,1.0,20.9277931155102
266,TK-100266-1870,72.2761805746451,3.6784871621987074,33.65292062021718,1,2.0,2.0,38.501868161712025
267,TK-100267-6538,72.68630629903319,5.1475920015444085,32.391900033465205,0,1.0,3.0,26.93154561649665
