,ID del ticket,Carga del servidor,Experiencia,Tiempo de diagnóstico,Cliente premium,Prioridad,Canal de entrada,Tiempo de resolución
90,TK-100090-7502,28.97,8,30,no,alto,correo,18.3
91,TK-100091-4639,73.49,7,30,no,medio,web,35.6
92,TK-100092-5557,77.06,3,28,no,medio,web,36.1
93,TK-100093-9292,62.1,6,31,no,medio,teléfono,26.1
94,TK-100094-4532,77.82,4,41,no,medio,teléfono,37.0
95,TK-100095-3816,57.03,5,33,sí,,teléfono,20.6
96,TK-100096-7411,59.2,6,24,sí,alto,web,24.7
97,TK-100097-1407,52.07,5,0,no,,,12.7
98,TK-100098-8204,21.91,4,38,no,medio,chat,30.8
99,TK-100099-3515,28.09,4,24,no,bajo,,
100,TK-100100-9133,22.36,3,31,no,bajo,web,27.1
101,TK-100101-2739,67.73,4,0,sí,,chat,13.7
102,TK-100102-5052,43.58,5,49,sí,medio,web,36.2
103,TK-100103-1258,58.14,4,26,sí,medio,,26.5
104,TK-100104-9700,88.07,6,43,no,bajo,web,45.4
105,TK-100105-6786,38.7,8,46,sí,bajo,web,34.9
106,TK-100106-4683,50.78,4,30,sí,medio,correo,31.0
107,TK-100107-5720,76.67,5,33,no,,web,37.8
108,TK-100108-4726,37.16,6,27,no,medio,chat,25.6
109,TK-100109-1678,25.77,6,33,no,medio,correo,23.8
110,TK-100110-9459,41.73,5,35,no,medio,correo,22.7
111,TK-100111-7126,32.09,6,40,no,medio,web,32.2
112,TK-100112-5906,89.73,6,44,no,medio,teléfono,39.8
113,TK-100113-8898,80.61,3,29,no,bajo,correo,44.5
114,TK-100114-2200,67.51,7,19,no,medio,chat,24.8
115,TK-100115-6355,85.36,7,35,sí,medio,chat,34.5
116,TK-100116-2116,80.28,4,37,sí,bajo,teléfono,35.5
117,TK-100117-7344,33.99,5,37,sí,alto,correo,19.4
118,TK-100118-6930,86.94,6,32,no,medio,chat,39.9
119,TK-100119-2058,60.45,5,36,sí,medio,correo,31.9
120,TK-100120-8284,80.56,7,47,no,medio,,46.5
121,TK-100121-1687,87.21,9,38,sí,bajo,web,33.3
122,TK-100122-6577,43.85,4,32,no,bajo,chat,37.9
123,TK-100123-6590,28.25,3,31,no,medio,,26.9
124,TK-100124-9152,37.1,6,34,no,bajo,chat,32.8
125,TK-100125-8063,52.03,6,48,no,bajo,web,48.8
126,TK-100126-9979,81.35,5,34,sí,alto,correo,
127,TK-100127-9395,84.55,8,35,no,medio,teléfono,30.0
128,TK-100128-3491,20.52,3,31,sí,bajo,web,
129,TK-100129-5822,58.31,6,44,no,,teléfono,32.1
130,TK-100130-8004,51.31,4,51,no,medio,,34.3
131,TK-100131-8011,36.66,8,39,sí,medio,correo,22.8
132,TK-100132-6700,28.99,9,36,no,bajo,correo,21.3
133,TK-100133-5862,45.32,4,35,no,medio,web,36.6
134,TK-100134-6350,90.72,4,16,no,bajo,correo,
135,TK-100135-1355,44.24,7,41,no,medio,web,39.3
136,TK-100136-4472,58.91,4,36,no,medio,web,34.9
137,TK-100137-9432,72.73,5,38,no,bajo,chat,39.9
138,TK-100138-8710,47.27,5,29,no,bajo,correo,31.0
139,TK-100139-9812,92.88,2,32,no,,teléfono,35.2
140,TK-100140-1854,92.18,5,32,sí,medio,correo,33.2
141,TK-100141-7363,38.88,4,43,no,bajo,,44.2
142,TK-100142-7704,57.29,4,32,no,bajo,correo,28.1
143,TK-100143-4624,42.57,8,52,sí,alto,chat,32.5
144,TK-100144-6446,41.36,3,38,sí,bajo,web,36.6
145,TK-100145-9573,22.77,6,25,sí,alto,chat,17.3
146,TK-100146-7031,65.72,4,34,no,bajo,correo,31.4
147,TK-100147-7182,57.7,4,30,no,bajo,web,
148,TK-100148-2132,23.86,6,17,no,medio,correo,15.7
149,TK-100149-3476,40.9,6,48,no,bajo,web,41.8
150,TK-100150-4135,88.12,6,41,sí,bajo,web,42.2
151,TK-100151-3079,37.97,7,39,sí,bajo,chat,30.4
152,TK-100152-1944,30.87,4,36,no,,chat,
153,TK-100153-6840,56.71,4,24,no,medio,chat,29.9
154,TK-100154-4962,93.92,3,31,sí,medio,chat,38.3
155,TK-100155-7674,38.15,4,42,no,,chat,34.0
156,TK-100156-1834,70.41,10,27,no,medio,chat,31.0
157,TK-100157-4750,77.12,7,15,no,medio,web,26.7
158,TK-100158-5184,37.82,3,33,no,medio,correo,26.4
159,TK-100159-8178,74.62,3,34,no,bajo,,44.9
160,TK-100160-6168,47.58,6,36,sí,bajo,correo,24.9
161,TK-100161-5991,67.42,6,41,sí,bajo,chat,38.8
162,TK-100162-9146,67.51,6,40,no,bajo,web,44.5
163,TK-100163-6290,60.18,5,37,no,bajo,teléfono,31.8
164,TK-100164-5238,26.77,5,45,no,alto,teléfono,31.0
165,TK-100165-9398,82.65,6,23,sí,alto,web,28.5
166,TK-100166-9165,44.06,5,39,no,bajo,web,39.7
167,TK-100167-4534,33.99,1,40,sí,bajo,correo,39.1
168,TK-100168-3052,23.06,5,25,sí,bajo,web,
169,TK-100169-9151,64.32,3,23,sí,bajo,correo,
170,TK-100170-1028,70.82,5,29,no,bajo,correo,29.7
171,TK-100171-9379,21.24,10,30,sí,alto,correo,7.8
172,TK-100172-2860,58.41,6,41,sí,bajo,web,36.6
173,TK-100173-8934,36.99,4,30,no,bajo,correo,28.9
174,TK-100174-3572,68.39,7,28,no,bajo,web,34.6
175,TK-100175-9051,33.08,6,30,no,alto,chat,26.5
176,TK-100176-7128,71.82,6,44,no,alto,web,
177,TK-100177-5014,49.01,6,35,no,medio,chat,35.7
178,TK-100178-5252,90.25,9,34,sí,medio,teléfono,26.5
179,TK-100179-3127,30.31,3,34,sí,bajo,chat,37.8
180,TK-100180-3707,45.58,6,45,no,,web,42.0
181,TK-100181-2813,28.51,3,29,sí,medio,web,23.0
182,TK-100182-8816,89.35,6,46,no,medio,correo,38.7
183,TK-100183-9351,85.8,3,37,no,bajo,web,
184,TK-100184-9535,39.35,4,34,no,medio,chat,30.4
185,TK-100185-9396,69.5,4,55,no,medio,web,51.5
186,TK-100186-9496,81.29,7,27,no,bajo,chat,35.0
187,TK-100187-9591,61.64,7,32,sí,medio,chat,27.6
188,TK-100188-7249,59.72,3,25,no,medio,web,30.7
189,TK-100189-7485,38.14,5,43,sí,,,
190,TK-100190-2805,26.98,4,49,no,medio,web,
191,TK-100191-6047,87.29,3,48,no,alto,web,
192,TK-100192-6540,87.53,5,45,sí,bajo,web,46.0
193,TK-100193-3096,67.48,4,33,no,medio,chat,32.0
194,TK-100194-6337,45.43,9,32,sí,bajo,correo,21.6
195,TK-100195-2459,46.19,6,22,sí,medio,teléfono,17.4
196,TK-100196-7934,74.45,3,51,no,alto,web,
197,TK-100197-9422,87.28,4,39,sí,medio,correo,
198,TK-100198-4782,86.53,7,31,sí,bajo,web,35.1
199,TK-100199-4500,78.49,9,46,no,alto,web,35.3
200,TK-100200-6605,68.15,2,27,no,medio,web,37.7
201,TK-100201-7419,26.31,2,38,sí,medio,,30.0
202,TK-100202-9624,32.12,8,34,no,medio,teléfono,
203,TK-100203-8889,87.39,6,40,no,bajo,web,48.1
204,TK-100204-6238,65.48,3,34,sí,medio,,29.5
205,TK-100205-2817,20.69,6,23,sí,medio,web,15.1
206,TK-100206-8570,27.61,0,36,no,medio,correo,33.8
207,TK-100207-6103,69.76,5,43,no,bajo,web,
208,TK-100208-1617,20.38,6,35,no,,web,29.6
209,TK-100209-9509,32.06,7,41,sí,alto,chat,37.0
210,TK-100210-7285,61.16,3,27,no,alto,chat,32.1
211,TK-100211-1456,71.89,5,35,no,bajo,teléfono,37.8
212,TK-100212-1500,68.9,3,30,sí,medio,,34.8
213,TK-100213-9074,36.82,5,41,sí,medio,chat,31.6
214,TK-100214-3315,73.41,3,35,no,,teléfono,32.1
215,TK-100215-4874,37.79,4,41,no,medio,chat,
216,TK-100216-7630,44.4,3,44,no,alto,web,35.9
217,TK-100217-5973,75.99,6,41,no,alto,correo,33.9
218,TK-100218-5774,68.72,7,37,no,,chat,36.0
219,TK-100219-2003,83.69,5,27,no,medio,web,36.7
220,TK-100220-7848,69.32,5,35,sí,medio,chat,39.6
221,TK-100221-5196,62.62,2,31,sí,bajo,,30.2
222,TK-100222-7715,27.03,4,32,no,bajo,,
223,TK-100223-2066,47.58,5,32,no,bajo,web,29.4
224,TK-100224-5716,39.89,10,27,no,medio,web,
225,TK-100225-7608,38.3,3,19,no,medio,web,
226,TK-100226-4234,92.98,8,30,no,alto,chat,32.6
227,TK-100227-7494,49.48,7,37,sí,medio,web,26.1
228,TK-100228-5498,86.9,6,24,no,medio,teléfono,26.7
229,TK-100229-6267,67.34,8,35,no,bajo,teléfono,
230,TK-100230-7171,79.61,6,50,sí,medio,web,41.4
231,TK-100231-9095,57.7,6,43,sí,medio,chat,34.9
232,TK-100232-4669,63.27,5,48,no,bajo,,46.1
233,TK-100233-5715,56.94,7,38,no,alto,,25.1
234,TK-100234-7069,34.64,7,44,sí,medio,correo,33.2
235,TK-100235-2961,74.18,4,29,sí,bajo,web,37.2
236,TK-100236-1875,41.06,3,30,no,alto,web,24.6
237,TK-100237-9734,21.82,5,13,no,,teléfono,14.6
238,TK-100238-4516,68.41,4,44,no,medio,chat,41.0
239,TK-100239-4865,33.28,5,47,no,medio,,40.7
240,TK-100240-5499,90.53,7,31,no,bajo,web,36.1
241,TK-100241-8233,91.54,4,33,sí,medio,chat,36.3
242,TK-100242-6947,88.61,5,29,no,medio,web,39.5
243,TK-100243-1574,47.76,5,38,sí,medio,correo,30.5
244,TK-100244-2458,21.16,7,44,no,bajo,correo,26.6
245,TK-100245-8395,89.62,1,21,sí,bajo,web,36.1
246,TK-100246-4172,52.11,4,38,no,bajo,teléfono,32.8
247,TK-100247-3470,92.5,5,0,sí,alto,chat,13.2
248,TK-100248-4427,92.27,7,36,no,bajo,correo,43.1
249,TK-100249-8798,83.98,4,39,sí,medio,,35.7
250,TK-100250-8736,42.08,2,33,sí,,teléfono,21.3
251,TK-100251-5206,48.88,6,34,sí,,correo,27.5
252,TK-100252-3200,83.84,4,33,no,alto,web,45.1
253,TK-100253-3964,43.77,3,43,no,alto,teléfono,35.6
254,TK-100254-7905,32.71,4,38,no,medio,web,29.8
255,TK-100255-4313,61.76,5,0,no,medio,web,16.1
256,TK-100256-3927,90.21,4,25,no,bajo,chat,41.5
257,TK-100257-9873,72.2,1,32,no,bajo,chat,39.7
258,TK-100258-9470,62.75,7,42,no,medio,chat,38.4
259,TK-100259-5458,27.29,7,35,no,bajo,web,
260,TK-100260-2648,66.13,6,40,sí,medio,chat,30.9
261,TK-100261-6527,94.25,3,49,no,bajo,teléfono,
262,TK-100262-9184,30.51,5,43,sí,,chat,23.0
263,TK-100263-3341,58.87,5,36,no,medio,chat,31.7
264,TK-100264-2518,85.8,6,31,sí,bajo,chat,33.4
265,TK-100265-2838,75.56,6,15,no,medio,chat,20.9
266,TK-100266-1870,72.28,4,34,sí,alto,web,38.5
267,TK-100267-6538,72.69,5,32,no,medio,teléfono,26.9
268,TK-100268-6477,46.96,6,38,no,medio,web,33.1
269,TK-100269-2128,42.02,8,34,sí,alto,teléfono,18.4
270,TK-100270-7499,80.7,6,32,sí,bajo,chat,38.2
271,TK-100271-2284,80.76,6,21,no,medio,web,25.9
272,TK-100272-9762,85.03,5,27,no,bajo,correo,37.7
273,TK-100273-3864,88.49,8,39,no,bajo,teléfono,
274,TK-100274-7045,58.35,6,49,sí,alto,web,34.0
275,TK-100275-2977,57.61,3,34,no,,web,38.4
276,TK-100276-9638,79.87,8,38,no,alto,web,36.6
277,TK-100277-6039,68.75,6,43,sí,medio,web,35.0
278,TK-100278-8039,72.65,4,29,sí,alto,teléfono,24.9
279,TK-100279-9828,79.68,4,38,no,,correo,35.1
280,TK-100280-3973,86.75,6,29,no,medio,web,37.3
281,TK-100281-5626,45.35,6,42,sí,medio,chat,33.2
282,TK-100282-1118,48.17,5,36,no,medio,teléfono,
283,TK-100283-8999,27.05,6,37,sí,alto,correo,17.5
284,TK-100284-3292,63.37,8,29,no,bajo,web,37.9
285,TK-100285-3104,22.7,7,41,no,medio,teléfono,18.8
286,TK-100286-2067,54.92,5,52,sí,medio,web,39.9
287,TK-100287-1423,60.7,7,27,no,bajo,teléfono,28.0
288,TK-100288-4819,41.49,3,32,no,bajo,teléfono,30.8
289,TK-100289-8703,64.31,6,37,no,medio,,35.1
290,TK-100290-2280,22.29,8,41,sí,alto,chat,
291,TK-100291-4432,22.8,5,31,sí,medio,correo,
292,TK-100292-1762,81.7,3,12,no,medio,web,27.6
293,TK-100293-2629,47.01,4,46,sí,medio,chat,38.7
294,TK-100294-6499,29.53,3,41,no,medio,correo,33.3
295,TK-100295-9634,59.17,4,21,sí,alto,teléfono,16.8
296,TK-100296-4014,77.75,4,30,no,medio,teléfono,34.6
297,TK-100297-2497,36.19,2,48,sí,bajo,web,41.1
298,TK-100298-9280,66.72,5,47,no,bajo,chat,
299,TK-100299-9653,26.4,7,43,no,alto,correo,28.1
300,TK-100300-4552,23.88,3,34,sí,alto,web,22.7
301,TK-100301-8637,59.85,8,36,no,bajo,chat,31.9
302,TK-100302-9571,60.55,6,34,no,bajo,,34.7
303,TK-100303-5496,67.81,7,44,sí,,teléfono,33.0
304,TK-100304-5646,74.46,4,28,no,,chat,
305,TK-100305-3983,93.19,7,29,no,medio,web,37.0
306,TK-100306-4060,58.72,3,43,sí,alto,web,41.0
307,TK-100307-8834,44.22,7,35,sí,alto,web,23.8
308,TK-100308-7804,79.64,5,46,no,alto,chat,43.4
309,TK-100309-8510,40.31,6,30,no,medio,web,27.7
310,TK-100310-3950,52.92,3,35,no,medio,web,36.4
311,TK-100311-5540,25.88,3,28,sí,medio,,27.6
312,TK-100312-8418,21.9,6,0,no,medio,web,11.1
313,TK-100313-7063,92.2,3,0,sí,bajo,teléfono,20.1
314,TK-100314-8661,82.7,6,31,no,bajo,chat,
315,TK-100315-4421,72.2,3,24,sí,medio,,31.4
316,TK-100316-2990,50.67,7,41,no,medio,,33.6
317,TK-100317-4856,33.0,3,41,no,medio,chat,
318,TK-100318-2482,31.73,6,21,no,,,21.1
319,TK-100319-3545,38.77,6,46,no,medio,chat,34.9
320,TK-100320-5220,61.19,4,55,no,bajo,correo,47.0
321,TK-100321-1642,73.59,6,35,no,,web,39.2
322,TK-100322-4918,69.51,5,30,no,medio,chat,30.4
323,TK-100323-2586,41.0,4,58,sí,alto,correo,43.0
324,TK-100324-3409,91.61,3,24,no,medio,web,35.1
325,TK-100325-7504,75.34,1,35,no,medio,web,39.5
326,TK-100326-1054,61.58,6,36,sí,medio,chat,34.8
327,TK-100327-1841,65.88,2,46,sí,medio,chat,43.8
328,TK-100328-7928,51.47,5,38,sí,bajo,correo,32.3
329,TK-100329-5587,38.58,5,31,sí,medio,chat,27.5
330,TK-100330-3906,46.7,6,27,no,medio,correo,24.0
331,TK-100331-6088,76.84,4,32,no,medio,web,35.5
332,TK-100332-6056,21.08,4,27,no,medio,teléfono,20.1
333,TK-100333-6982,28.71,6,35,sí,alto,teléfono,16.0
334,TK-100334-3272,23.45,6,30,no,bajo,correo,27.2
335,TK-100335-7141,23.05,6,23,no,medio,web,21.7
336,TK-100336-9015,84.16,6,45,no,alto,,40.4
337,TK-100337-9294,72.77,2,31,sí,alto,chat,31.5
338,TK-100338-2071,55.56,6,25,no,bajo,,
339,TK-100339-1736,27.34,6,34,no,alto,teléfono,18.9
340,TK-100340-7376,56.87,3,36,no,bajo,chat,36.0
341,TK-100341-8749,55.51,5,21,no,medio,teléfono,23.3
342,TK-100342-4630,32.99,5,38,sí,,chat,28.5
343,TK-100343-1227,52.54,5,27,no,medio,web,28.9
344,TK-100344-7665,49.89,6,49,no,medio,web,
345,TK-100345-6711,66.19,8,0,no,bajo,correo,13.5
346,TK-100346-7156,67.63,7,32,no,bajo,,31.0
347,TK-100347-4570,23.4,3,29,no,medio,teléfono,19.3
348,TK-100348-9636,48.1,6,34,no,bajo,chat,30.4
349,TK-100349-8993,66.94,7,40,sí,alto,correo,27.0
350,TK-100350-2619,57.74,6,35,sí,medio,chat,30.6
351,TK-100351-3204,84.24,7,33,no,bajo,correo,39.5
352,TK-100352-3703,69.4,9,35,no,medio,correo,32.2
353,TK-100353-8742,32.22,7,0,no,medio,teléfono,3.6
354,TK-100354-8574,25.29,5,32,no,bajo,web,29.7
355,TK-100355-1797,68.18,7,18,sí,medio,,19.6
356,TK-100356-3999,21.99,5,43,no,alto,correo,27.1
357,TK-100357-3764,63.93,5,37,no,,chat,
358,TK-100358-4684,90.52,4,29,sí,medio,,30.9
359,TK-100359-9199,63.16,8,50,no,,,39.1
360,TK-100360-7239,49.11,4,36,no,,web,39.8
361,TK-100361-4874,68.25,8,0,no,bajo,chat,20.1
362,TK-100362-4329,54.37,6,42,no,alto,correo,31.4
363,TK-100363-7069,60.92,2,0,sí,alto,chat,
364,TK-100364-6584,90.61,6,38,no,bajo,correo,42.6
365,TK-100365-9805,48.96,1,32,no,,teléfono,30.0
366,TK-100366-9880,92.09,6,39,no,,teléfono,35.6
367,TK-100367-9301,87.9,7,33,no,bajo,web,40.0
368,TK-100368-2160,34.68,4,39,sí,bajo,teléfono,28.5
369,TK-100369-4610,25.2,5,20,no,,correo,12.8
370,TK-100370-5744,27.56,9,32,sí,medio,teléfono,15.2
371,TK-100371-8331,21.37,4,49,sí,bajo,chat,36.3
372,TK-100372-3003,27.08,3,29,no,medio,web,33.4
373,TK-100373-9035,71.23,8,30,no,bajo,teléfono,31.6
374,TK-100374-2527,25.34,9,31,sí,medio,web,26.6
375,TK-100375-8318,43.92,5,25,no,medio,web,25.5
376,TK-100376-8234,83.37,7,17,no,medio,teléfono,25.5
377,TK-100377-6169,21.75,7,33,sí,medio,web,22.3
378,TK-100378-5610,81.09,4,36,no,medio,correo,44.6
379,TK-100379-7721,41.14,4,35,sí,bajo,web,29.5
380,TK-100380-9697,28.86,7,34,no,bajo,web,
381,TK-100381-5250,72.26,8,35,no,alto,web,31.0
382,TK-100382-7626,67.17,6,43,no,medio,web,34.3
383,TK-100383-3855,85.81,3,33,no,bajo,chat,
384,TK-100384-4964,75.13,9,30,sí,medio,teléfono,20.7
385,TK-100385-8935,80.26,4,33,no,alto,chat,36.6
386,TK-100386-2674,41.15,4,40,no,medio,web,37.0
387,TK-100387-3392,33.31,6,46,no,medio,chat,
388,TK-100388-7878,76.3,8,30,no,bajo,teléfono,32.2
389,TK-100389-2921,80.51,7,36,no,bajo,web,38.6
390,TK-100390-5433,94.29,6,38,no,alto,teléfono,32.6
391,TK-100391-2827,50.95,6,27,sí,medio,teléfono,21.5
392,TK-100392-1716,47.9,5,35,no,medio,correo,25.9
393,TK-100393-1630,78.23,6,23,no,alto,teléfono,
394,TK-100394-5860,45.56,0,21,no,alto,correo,28.7
395,TK-100395-9276,89.81,4,38,no,bajo,web,44.3
396,TK-100396-4768,84.38,5,32,sí,bajo,,27.6
397,TK-100397-9928,52.17,3,37,no,,chat,40.6
398,TK-100398-3707,76.32,6,35,no,,web,39.7
399,TK-100399-9418,76.59,5,27,no,,,34.9
400,TK-100400-4357,27.73,8,35,no,alto,,14.0
401,TK-100401-8860,87.69,8,25,sí,medio,chat,25.4
402,TK-100402-5204,57.89,4,46,sí,bajo,teléfono,35.8
403,TK-100403-5230,81.98,5,24,no,,web,36.5
404,TK-100404-6033,44.0,5,33,no,medio,teléfono,25.6
405,TK-100405-5386,87.16,4,27,no,alto,,33.2
406,TK-100406-9157,49.19,5,0,no,medio,correo,7.2
407,TK-100407-8675,20.81,4,32,sí,bajo,correo,23.2
408,TK-100408-2867,87.9,3,31,no,,teléfono,38.1
409,TK-100409-7965,26.85,6,42,no,alto,chat,30.5
410,TK-100410-8196,43.95,6,35,no,medio,teléfono,28.6
411,TK-100411-1026,91.25,4,39,sí,alto,correo,32.8
412,TK-100412-7156,91.3,7,27,sí,medio,web,27.3
413,TK-100413-7588,63.01,4,24,no,medio,web,35.6
414,TK-100414-6767,67.39,5,36,sí,bajo,chat,35.3
415,TK-100415-1466,53.63,6,32,no,medio,correo,25.5
416,TK-100416-8689,41.99,5,40,no,medio,correo,36.3
417,TK-100417-3700,44.65,6,34,no,alto,chat,28.8
418,TK-100418-9809,70.44,4,37,sí,,web,42.0
419,TK-100419-4777,76.43,5,22,sí,bajo,chat,29.5
420,TK-100420-3687,79.37,5,50,no,medio,chat,53.0
421,TK-100421-6332,79.22,4,34,sí,bajo,chat,42.7
422,TK-100422-7806,26.84,5,41,no,medio,web,32.8
423,TK-100423-6056,57.08,2,28,sí,bajo,correo,
424,TK-100424-1179,24.32,4,37,no,bajo,web,36.0
425,TK-100425-8996,61.21,4,25,no,medio,correo,31.3
426,TK-100426-6464,53.11,5,39,sí,medio,teléfono,25.5
427,TK-100427-7720,86.58,5,32,sí,,web,38.3
428,TK-100428-1921,46.32,5,35,no,,teléfono,33.5
429,TK-100429-4092,28.78,6,41,no,alto,,21.2
430,TK-100430-6527,30.72,7,25,sí,bajo,chat,16.9
431,TK-100431-8465,77.11,4,30,no,bajo,correo,29.4
432,TK-100432-3719,66.37,3,39,sí,medio,web,37.5
433,TK-100433-9113,27.58,3,52,sí,bajo,web,42.4
434,TK-100434-1151,26.31,4,34,no,medio,chat,33.4
435,TK-100435-9204,72.57,4,40,no,alto,correo,35.9
436,TK-100436-9906,25.46,4,34,no,medio,,31.9
437,TK-100437-4625,81.64,3,51,sí,medio,web,43.7
438,TK-100438-9440,72.97,4,21,sí,medio,web,
439,TK-100439-2144,26.1,5,36,no,bajo,chat,30.3
440,TK-100440-5482,26.36,6,22,sí,medio,chat,17.7
441,TK-100441-5534,94.0,4,15,no,medio,web,32.2
442,TK-100442-1720,48.07,4,37,sí,alto,correo,20.4
443,TK-100443-5568,47.8,3,36,no,,web,38.2
444,TK-100444-4229,80.96,5,33,sí,medio,chat,29.7
445,TK-100445-2006,91.04,3,34,sí,alto,correo,35.5
446,TK-100446-5728,93.95,6,0,no,medio,chat,21.3
447,TK-100447-8099,76.5,2,33,no,alto,teléfono,31.4
448,TK-100448-8116,48.22,4,39,sí,medio,,30.4
